Index	Distance (m)	Current (A)	Distance (m)	N/A
1	0.0000005	1.9822E-09	0.0000005	1
2	5.992E-07	1.9913E-09	5.992E-07	2
3	6.984E-07	1.9957E-09	6.984E-07	3
4	7.976E-07	1.9965E-09	7.976E-07	4
5	8.968E-07	1.9951E-09	8.968E-07	5
6	0.000000996	1.9917E-09	0.000000996	6
7	1.0952E-06	1.9869E-09	1.0952E-06	7
8	1.1944E-06	1.9813E-09	1.1944E-06	8
9	1.2936E-06	1.9748E-09	1.2936E-06	9
10	1.3928E-06	1.9677E-09	1.3928E-06	10
11	0.000001492	1.9602E-09	0.000001492	11
12	1.5912E-06	1.9524E-09	1.5912E-06	12
13	1.6904E-06	1.9445E-09	1.6904E-06	13
14	1.7896E-06	1.9365E-09	1.7896E-06	14
15	1.8888E-06	1.9284E-09	1.8888E-06	15
16	0.000001988	1.9203E-09	0.000001988	16
17	2.08715E-06	1.9117E-09	2.08715E-06	17
18	2.18635E-06	1.9041E-09	2.18635E-06	18
19	2.28555E-06	1.8962E-09	2.28555E-06	19
20	2.38475E-06	1.8883E-09	2.38475E-06	20
21	2.48395E-06	1.8806E-09	2.48395E-06	21
22	2.58315E-06	1.8729E-09	2.58315E-06	22
23	2.68235E-06	1.8654E-09	2.68235E-06	23
24	2.78155E-06	1.8581E-09	2.78155E-06	24
25	2.88075E-06	1.8509E-09	2.88075E-06	25
26	2.97995E-06	1.8439E-09	2.97995E-06	26
27	3.07915E-06	1.8371E-09	3.07915E-06	27
28	3.17835E-06	1.8304E-09	3.17835E-06	28
29	3.27755E-06	1.8237E-09	3.27755E-06	29
30	3.37675E-06	1.8172E-09	3.37675E-06	30
31	3.47595E-06	1.8109E-09	3.47595E-06	31
32	3.57515E-06	1.8047E-09	3.57515E-06	32
33	3.67435E-06	1.7987E-09	3.67435E-06	33
34	3.77355E-06	1.7928E-09	3.77355E-06	34
35	3.87275E-06	1.7870E-09	3.87275E-06	35
36	3.97195E-06	1.7814E-09	3.97195E-06	36
37	4.07115E-06	1.7759E-09	4.07115E-06	37
38	4.17035E-06	1.7705E-09	4.17035E-06	38
39	4.26955E-06	1.7653E-09	4.26955E-06	39
40	4.36875E-06	1.7601E-09	4.36875E-06	40
41	4.46795E-06	1.7551E-09	4.46795E-06	41
42	4.56715E-06	1.7503E-09	4.56715E-06	42
43	4.66635E-06	1.7454E-09	4.66635E-06	43
44	4.76555E-06	1.7408E-09	4.76555E-06	44
45	4.86475E-06	1.7362E-09	4.86475E-06	45
46	4.96395E-06	1.7318E-09	4.96395E-06	46
47	0.000005063	1.7275E-09	0.000005063	47
48	5.1625E-06	1.7232E-09	5.1625E-06	48
49	5.2615E-06	1.7191E-09	5.2615E-06	49
50	5.3605E-06	1.7150E-09	5.3605E-06	50
51	0.00000546	1.7111E-09	0.00000546	51
52	0.000005559	1.7072E-09	0.000005559	52
53	5.6585E-06	1.7034E-09	5.6585E-06	53
54	5.7575E-06	1.6997E-09	5.7575E-06	54
55	5.8565E-06	1.6961E-09	5.8565E-06	55
56	0.000005956	1.6926E-09	0.000005956	56
57	0.000006055	1.6891E-09	0.000006055	57
58	6.1545E-06	1.6857E-09	6.1545E-06	58
59	6.2535E-06	1.6825E-09	6.2535E-06	59
60	6.3525E-06	1.6792E-09	6.3525E-06	60
61	0.000006452	1.6760E-09	0.000006452	61
62	0.000006551	1.6729E-09	0.000006551	62
63	6.6505E-06	1.6699E-09	6.6505E-06	63
64	6.7495E-06	1.6669E-09	6.7495E-06	64
65	6.8485E-06	1.6641E-09	6.8485E-06	65
66	0.000006948	1.6613E-09	0.000006948	66
67	0.000007047	1.6584E-09	0.000007047	67
68	7.1465E-06	1.6557E-09	7.1465E-06	68
69	7.2455E-06	1.6531E-09	7.2455E-06	69
70	7.3445E-06	1.6505E-09	7.3445E-06	70
71	0.000007444	1.6479E-09	0.000007444	71
72	0.000007543	1.6454E-09	0.000007543	72
73	7.6425E-06	1.6429E-09	7.6425E-06	73
74	7.7415E-06	1.6406E-09	7.7415E-06	74
75	7.8405E-06	1.6382E-09	7.8405E-06	75
76	0.00000794	1.6359E-09	0.00000794	76
77	0.000008039	1.6336E-09	0.000008039	77
78	8.1385E-06	1.6314E-09	8.1385E-06	78
79	8.2375E-06	1.6292E-09	8.2375E-06	79
80	8.3365E-06	1.6271E-09	8.3365E-06	80
81	0.000008436	1.6250E-09	0.000008436	81
82	0.000008535	1.6229E-09	0.000008535	82
83	8.6345E-06	1.6209E-09	8.6345E-06	83
84	8.7335E-06	1.6190E-09	8.7335E-06	84
85	8.8325E-06	1.6170E-09	8.8325E-06	85
86	0.000008932	1.6150E-09	0.000008932	86
87	0.000009031	1.6132E-09	0.000009031	87
88	9.1305E-06	1.6114E-09	9.1305E-06	88
89	9.2295E-06	1.6096E-09	9.2295E-06	89
90	9.3285E-06	1.6078E-09	9.3285E-06	90
91	0.000009428	1.6060E-09	0.000009428	91
92	0.000009527	1.6044E-09	0.000009527	92
93	9.6265E-06	1.6027E-09	9.6265E-06	93
94	9.7255E-06	1.6011E-09	9.7255E-06	94
95	9.8245E-06	1.5995E-09	9.8245E-06	95
96	0.000009924	1.5979E-09	0.000009924	96
97	0.000010023	1.5963E-09	0.000010023	97
98	0.000010122	1.5948E-09	0.000010122	98
99	1.02215E-05	1.5933E-09	1.02215E-05	99
100	1.03205E-05	1.5918E-09	1.03205E-05	100
101	0.00001042	1.5903E-09	0.00001042	101
102	0.000010519	1.5889E-09	0.000010519	102
103	0.000010618	1.5876E-09	0.000010618	103
