Series_4_1
Sweep_4_1_1	  7.727659600E+04	 21:27:56.596	 2018/05/28 21:27:56.596
"Index"	 "Time[s]"       	 "Imon-1[A]"     	 "Time[s]"       	 "Emon-1[V]"     
      0	  0.000000000E+00	  2.310544334E-12	  0.000000000E+00	 -6.251966115E-04
      1	  1.000000000E-02	  1.529955091E-12	  1.000000000E-02	 -1.250393223E-03
      2	  2.000000000E-02	  1.623625713E-12	  2.000000000E-02	 -9.377949173E-04
      3	  3.000000000E-02	  1.998308637E-12	  3.000000000E-02	 -3.125983058E-04
      4	  4.000000000E-02	  1.248942898E-12	  4.000000000E-02	 -3.125983058E-04
      5	  5.000000000E-02	  2.154426594E-12	  5.000000000E-02	  0.000000000E+00
      6	  6.000000000E-02	  1.745709965E-10	  6.000000000E-02	  4.688974936E-03
      7	  7.000000000E-02	  5.510960577E-10	  7.000000000E-02	  2.750865184E-02
      8	  8.000000000E-02	  8.690456688E-10	  8.000000000E-02	  6.845903397E-02
      9	  9.000000000E-02	  9.822311853E-10	  9.000000000E-02	  1.190999597E-01
     10	  1.000000000E-01	  1.007771977E-09	  1.000000000E-01	  1.672400981E-01
     11	  1.100000000E-01	  9.983737170E-10	  1.100000000E-01	  2.085030824E-01
     12	  1.200000000E-01	  9.812007873E-10	  1.200000000E-01	  2.388251126E-01
     13	  1.300000000E-01	  9.640590548E-10	  1.300000000E-01	  2.607069910E-01
     14	  1.400000000E-01	  9.478852148E-10	  1.400000000E-01	  2.757117152E-01
     15	  1.500000000E-01	  9.362700615E-10	  1.500000000E-01	  2.835266590E-01
     16	  1.600000000E-01	  9.249671029E-10	  1.600000000E-01	  2.900912464E-01
     17	  1.700000000E-01	  9.165991854E-10	  1.700000000E-01	  2.935298085E-01
     18	  1.800000000E-01	  9.102920084E-10	  1.800000000E-01	  2.947802246E-01
     19	  1.900000000E-01	  9.036101867E-10	  1.900000000E-01	  2.963432074E-01
     20	  2.000000000E-01	  8.995823531E-10	  2.000000000E-01	  2.966558039E-01
     21	  2.100000000E-01	  8.945865715E-10	  2.100000000E-01	  2.969684005E-01
     22	  2.200000000E-01	  8.910582827E-10	  2.200000000E-01	  2.972809970E-01
     23	  2.300000000E-01	  8.882793945E-10	  2.300000000E-01	  2.975935936E-01
     24	  2.400000000E-01	  8.845638111E-10	  2.400000000E-01	  2.985313833E-01
     25	  2.500000000E-01	  8.830026155E-10	  2.500000000E-01	  2.975935936E-01
     26	  2.600000000E-01	  8.795680295E-10	  2.600000000E-01	  2.979061902E-01
     27	  2.700000000E-01	  8.775072891E-10	  2.700000000E-01	  2.979061902E-01
     28	  2.800000000E-01	  8.759460934E-10	  2.800000000E-01	  2.979061902E-01
     29	  2.900000000E-01	  8.732921053E-10	  2.900000000E-01	  2.979061902E-01
     30	  3.000000000E-01	  8.725427048E-10	  3.000000000E-01	  2.985313833E-01
     31	  3.100000000E-01	  8.699511667E-10	  3.100000000E-01	  2.979061902E-01
     32	  3.200000000E-01	  8.684524211E-10	  3.200000000E-01	  2.994691730E-01
     33	  3.300000000E-01	  8.676406260E-10	  3.300000000E-01	  2.982187867E-01
     34	  3.400000000E-01	  8.653612826E-10	  3.400000000E-01	  2.979061902E-01
     35	  3.500000000E-01	  8.652676353E-10	  3.500000000E-01	  2.979061902E-01
     36	  3.600000000E-01	  8.635503423E-10	  3.600000000E-01	  2.979061902E-01
     37	  3.700000000E-01	  8.628009973E-10	  3.700000000E-01	  2.979061902E-01
     38	  3.800000000E-01	  8.624262970E-10	  3.800000000E-01	  2.985313833E-01
     39	  3.900000000E-01	  8.605841040E-10	  3.900000000E-01	  2.982187867E-01
     40	  4.000000000E-01	  8.606153012E-10	  4.000000000E-01	  2.985313833E-01
     41	  4.100000000E-01	  8.589604583E-10	  4.100000000E-01	  2.982187867E-01
     42	  4.200000000E-01	  8.582111133E-10	  4.200000000E-01	  2.979061902E-01
     43	  4.300000000E-01	  8.580237632E-10	  4.300000000E-01	  2.985313833E-01
     44	  4.400000000E-01	  8.563376674E-10	  4.400000000E-01	  2.991565764E-01
     45	  4.500000000E-01	  8.564313703E-10	  4.500000000E-01	  2.988439798E-01
     46	  4.600000000E-01	  8.549014274E-10	  4.600000000E-01	  2.991565764E-01
     47	  4.700000000E-01	  8.542769270E-10	  4.700000000E-01	  2.988439798E-01
     48	  4.800000000E-01	  8.543393770E-10	  4.800000000E-01	  2.979061902E-01
     49	  4.900000000E-01	  8.529655315E-10	  4.900000000E-01	  2.985313833E-01
     50	  5.000000000E-01	  8.533714291E-10	  5.000000000E-01	  2.985313833E-01
     51	  5.100000000E-01	  8.518727390E-10	  5.100000000E-01	  2.985313833E-01
     52	  5.200000000E-01	  8.516541361E-10	  5.200000000E-01	  2.985313833E-01
     53	  5.300000000E-01	  8.519351891E-10	  5.300000000E-01	  2.985313833E-01
     54	  5.400000000E-01	  8.505613436E-10	  5.400000000E-01	  2.982187867E-01
     55	  5.500000000E-01	  8.508111438E-10	  5.500000000E-01	  2.979061902E-01
     56	  5.600000000E-01	  8.496558457E-10	  5.600000000E-01	  2.982187867E-01
     57	  5.700000000E-01	  8.491874981E-10	  5.700000000E-01	  2.985313833E-01
     58	  5.800000000E-01	  8.492499481E-10	  5.800000000E-01	  2.985313833E-01
     59	  5.900000000E-01	  8.480946501E-10	  5.900000000E-01	  2.982187867E-01
     60	  6.000000000E-01	  8.486254477E-10	  6.000000000E-01	  2.975935936E-01
     61	  6.100000000E-01	  8.475638524E-10	  6.100000000E-01	  2.985313833E-01
     62	  6.200000000E-01	  8.470643076E-10	  6.200000000E-01	  2.979061902E-01
     63	  6.300000000E-01	  8.472516577E-10	  6.300000000E-01	  2.988439798E-01
     64	  6.400000000E-01	  8.459090095E-10	  6.400000000E-01	  2.988439798E-01
     65	  6.500000000E-01	  8.465647072E-10	  6.500000000E-01	  2.985313833E-01
     66	  6.600000000E-01	  8.454719147E-10	  6.600000000E-01	  2.985313833E-01
     67	  6.700000000E-01	  8.450972144E-10	  6.700000000E-01	  2.975935936E-01
     68	  6.800000000E-01	  8.453470146E-10	  6.800000000E-01	  2.985313833E-01
     69	  6.900000000E-01	  8.443166166E-10	  6.900000000E-01	  2.985313833E-01
     70	  7.000000000E-01	  8.448162170E-10	  7.000000000E-01	  2.985313833E-01
     71	  7.100000000E-01	  8.439419164E-10	  7.100000000E-01	  2.988439798E-01
     72	  7.200000000E-01	  8.436297216E-10	  7.200000000E-01	  2.988439798E-01
     73	  7.300000000E-01	  8.440043664E-10	  7.300000000E-01	  2.985313833E-01
     74	  7.400000000E-01	  8.427866738E-10	  7.400000000E-01	  2.982187867E-01
     75	  7.500000000E-01	  8.434111187E-10	  7.500000000E-01	  2.985313833E-01
     76	  7.600000000E-01	  8.425368736E-10	  7.600000000E-01	  2.988439798E-01
     77	  7.700000000E-01	  8.421934261E-10	  7.700000000E-01	  2.988439798E-01
     78	  7.800000000E-01	  8.425368736E-10	  7.800000000E-01	  2.985313833E-01
     79	  7.900000000E-01	  8.413815755E-10	  7.900000000E-01	  2.979061902E-01
     80	  8.000000000E-01	  8.419436259E-10	  8.000000000E-01	  2.988439798E-01
     81	  8.100000000E-01	  8.407259333E-10	  8.100000000E-01	  2.988439798E-01
     82	  8.200000000E-01	  8.404136831E-10	  8.200000000E-01	  2.985313833E-01
     83	  8.300000000E-01	  8.411318309E-10	  8.300000000E-01	  2.979061902E-01
     84	  8.400000000E-01	  8.401326856E-10	  8.400000000E-01	  2.988439798E-01
     85	  8.500000000E-01	  8.405385832E-10	  8.500000000E-01	  2.982187867E-01
     86	  8.600000000E-01	  8.396018325E-10	  8.600000000E-01	  2.994691730E-01
     87	  8.700000000E-01	  8.395081852E-10	  8.700000000E-01	  2.982187867E-01
     88	  8.800000000E-01	  8.398204354E-10	  8.800000000E-01	  2.985313833E-01
     89	  8.900000000E-01	  8.387588402E-10	  8.900000000E-01	  2.988439798E-01
     90	  9.000000000E-01	  8.395394380E-10	  9.000000000E-01	  2.985313833E-01
     91	  9.100000000E-01	  8.386651373E-10	  9.100000000E-01	  2.985313833E-01
     92	  9.200000000E-01	  8.384153372E-10	  9.200000000E-01	  2.994691730E-01
     93	  9.300000000E-01	  8.390085848E-10	  9.300000000E-01	  2.979061902E-01
     94	  9.400000000E-01	  8.379469896E-10	  9.400000000E-01	  2.991565764E-01
     95	  9.500000000E-01	  8.385402372E-10	  9.500000000E-01	  2.985313833E-01
     96	  9.600000000E-01	  8.376035421E-10	  9.600000000E-01	  2.979061902E-01
     97	  9.700000000E-01	  8.374161919E-10	  9.700000000E-01	  2.988439798E-01
     98	  9.800000000E-01	  8.378845395E-10	  9.800000000E-01	  2.991565764E-01
     99	  9.900000000E-01	  8.368541971E-10	  9.900000000E-01	  2.982187867E-01
    100	  1.000000000E+00	  8.376972449E-10	  1.000000000E+00	  2.979061902E-01
    101	  1.010000000E+00	  8.368229443E-10	  1.010000000E+00	  2.982187867E-01
    102	  1.020000000E+00	  8.365731996E-10	  1.020000000E+00	  2.988439798E-01
    103	  1.030000000E+00	  8.370102944E-10	  1.030000000E+00	  2.988439798E-01
    104	  1.040000000E+00	  8.360735992E-10	  1.040000000E+00	  2.985313833E-01
    105	  1.050000000E+00	  8.368853943E-10	  1.050000000E+00	  2.985313833E-01
    106	  1.060000000E+00	  8.358862491E-10	  1.060000000E+00	  2.988439798E-01
    107	  1.070000000E+00	  8.356677017E-10	  1.070000000E+00	  2.979061902E-01
    108	  1.080000000E+00	  8.362609494E-10	  1.080000000E+00	  2.988439798E-01
    109	  1.090000000E+00	  8.351056513E-10	  1.090000000E+00	  2.985313833E-01
    110	  1.100000000E+00	  8.356988990E-10	  1.100000000E+00	  2.985313833E-01
    111	  1.110000000E+00	  8.348871039E-10	  1.110000000E+00	  2.985313833E-01
    112	  1.120000000E+00	  8.346685565E-10	  1.120000000E+00	  2.997817695E-01
    113	  1.130000000E+00	  8.349495539E-10	  1.130000000E+00	  2.985313833E-01
    114	  1.140000000E+00	  8.337942559E-10	  1.140000000E+00	  2.985313833E-01
    115	  1.150000000E+00	  8.345124036E-10	  1.150000000E+00	  2.991565764E-01
    116	  1.160000000E+00	  8.338255086E-10	  1.160000000E+00	  2.985313833E-01
    117	  1.170000000E+00	  8.338567059E-10	  1.170000000E+00	  2.979061902E-01
    118	  1.180000000E+00	  8.344187563E-10	  1.180000000E+00	  2.994691730E-01
    119	  1.190000000E+00	  8.332322610E-10	  1.190000000E+00	  2.979061902E-01
    120	  1.200000000E+00	  8.339816060E-10	  1.200000000E+00	  2.982187867E-01
    121	  1.210000000E+00	  8.332947110E-10	  1.210000000E+00	  2.988439798E-01
    122	  1.220000000E+00	  8.332634582E-10	  1.220000000E+00	  2.982187867E-01
    123	  1.230000000E+00	  8.337630586E-10	  1.230000000E+00	  2.988439798E-01
    124	  1.240000000E+00	  8.327014633E-10	  1.240000000E+00	  2.988439798E-01
    125	  1.250000000E+00	  8.333259083E-10	  1.250000000E+00	  2.982187867E-01
    126	  1.260000000E+00	  8.325765632E-10	  1.260000000E+00	  2.982187867E-01
    127	  1.270000000E+00	  8.322643130E-10	  1.270000000E+00	  2.985313833E-01
    128	  1.280000000E+00	  8.328263634E-10	  1.280000000E+00	  2.985313833E-01
    129	  1.290000000E+00	  8.317959654E-10	  1.290000000E+00	  2.994691730E-01
    130	  1.300000000E+00	  8.325141132E-10	  1.300000000E+00	  2.979061902E-01
    131	  1.310000000E+00	  8.317023181E-10	  1.310000000E+00	  2.988439798E-01
    132	  1.320000000E+00	  8.316398681E-10	  1.320000000E+00	  2.994691730E-01
    133	  1.330000000E+00	  8.322955658E-10	  1.330000000E+00	  2.988439798E-01
    134	  1.340000000E+00	  8.314525179E-10	  1.340000000E+00	  2.994691730E-01
    135	  1.350000000E+00	  8.321394129E-10	  1.350000000E+00	  2.982187867E-01
    136	  1.360000000E+00	  8.314837152E-10	  1.360000000E+00	  2.988439798E-01
    137	  1.370000000E+00	  8.312027178E-10	  1.370000000E+00	  2.985313833E-01
    138	  1.380000000E+00	  8.317335154E-10	  1.380000000E+00	  2.975935936E-01
    139	  1.390000000E+00	  8.307655674E-10	  1.390000000E+00	  2.985313833E-01
    140	  1.400000000E+00	  8.314525179E-10	  1.400000000E+00	  2.985313833E-01
    141	  1.410000000E+00	  8.308280175E-10	  1.410000000E+00	  2.975935936E-01
    142	  1.420000000E+00	  8.307031174E-10	  1.420000000E+00	  2.985313833E-01
    143	  1.430000000E+00	  8.313900679E-10	  1.430000000E+00	  2.985313833E-01
    144	  1.440000000E+00	  8.305782728E-10	  1.440000000E+00	  2.988439798E-01
    145	  1.450000000E+00	  8.314212652E-10	  1.450000000E+00	  2.982187867E-01
    146	  1.460000000E+00	  8.307655674E-10	  1.460000000E+00	  2.985313833E-01
    147	  1.470000000E+00	  8.304845700E-10	  1.470000000E+00	  2.985313833E-01
    148	  1.480000000E+00	  8.310466204E-10	  1.480000000E+00	  2.985313833E-01
    149	  1.490000000E+00	  8.299850252E-10	  1.490000000E+00	  2.985313833E-01
    150	  1.500000000E+00	  8.305470200E-10	  1.500000000E+00	  2.985313833E-01
    151	  1.510000000E+00	  8.298288723E-10	  1.510000000E+00	  2.991565764E-01
    152	  1.520000000E+00	  8.296727749E-10	  1.520000000E+00	  2.988439798E-01
    153	  1.530000000E+00	  8.303284726E-10	  1.530000000E+00	  2.982187867E-01
    154	  1.540000000E+00	  8.294541720E-10	  1.540000000E+00	  2.985313833E-01
    155	  1.550000000E+00	  8.299850252E-10	  1.550000000E+00	  2.982187867E-01
    156	  1.560000000E+00	  8.291731746E-10	  1.560000000E+00	  2.994691730E-01
    157	  1.570000000E+00	  8.290795273E-10	  1.570000000E+00	  2.985313833E-01
    158	  1.580000000E+00	  8.299850252E-10	  1.580000000E+00	  2.985313833E-01
    159	  1.590000000E+00	  8.291107245E-10	  1.590000000E+00	  2.985313833E-01
    160	  1.600000000E+00	  8.299850252E-10	  1.600000000E+00	  2.994691730E-01
    161	  1.610000000E+00	  8.291419773E-10	  1.610000000E+00	  2.985313833E-01
    162	  1.620000000E+00	  8.288921771E-10	  1.620000000E+00	  2.988439798E-01
    163	  1.630000000E+00	  8.295790721E-10	  1.630000000E+00	  2.988439798E-01
    164	  1.640000000E+00	  8.283925768E-10	  1.640000000E+00	  2.982187867E-01
    165	  1.650000000E+00	  8.292044273E-10	  1.650000000E+00	  2.979061902E-01
    166	  1.660000000E+00	  8.285799269E-10	  1.660000000E+00	  2.982187867E-01
    167	  1.670000000E+00	  8.285487296E-10	  1.670000000E+00	  2.979061902E-01
    168	  1.680000000E+00	  8.293293274E-10	  1.680000000E+00	  2.985313833E-01
    169	  1.690000000E+00	  8.281740294E-10	  1.690000000E+00	  2.982187867E-01
    170	  1.700000000E+00	  8.287672770E-10	  1.700000000E+00	  2.988439798E-01
    171	  1.710000000E+00	  8.279242292E-10	  1.710000000E+00	  2.985313833E-01
    172	  1.720000000E+00	  8.277993291E-10	  1.720000000E+00	  2.979061902E-01
    173	  1.730000000E+00	  8.285174768E-10	  1.730000000E+00	  2.985313833E-01
    174	  1.740000000E+00	  8.273622343E-10	  1.740000000E+00	  2.982187867E-01
    175	  1.750000000E+00	  8.281115793E-10	  1.750000000E+00	  2.982187867E-01
    176	  1.760000000E+00	  8.274871344E-10	  1.760000000E+00	  2.985313833E-01
    177	  1.770000000E+00	  8.271124341E-10	  1.770000000E+00	  2.979061902E-01
    178	  1.780000000E+00	  8.277993291E-10	  1.780000000E+00	  2.985313833E-01
    179	  1.790000000E+00	  8.268938867E-10	  1.790000000E+00	  2.988439798E-01
    180	  1.800000000E+00	  8.276744290E-10	  1.800000000E+00	  2.982187867E-01
    181	  1.810000000E+00	  8.270187868E-10	  1.810000000E+00	  2.988439798E-01
    182	  1.820000000E+00	  8.267689866E-10	  1.820000000E+00	  2.988439798E-01
    183	  1.830000000E+00	  8.273934315E-10	  1.830000000E+00	  2.988439798E-01
    184	  1.840000000E+00	  8.265816365E-10	  1.840000000E+00	  2.988439798E-01
    185	  1.850000000E+00	  8.274246843E-10	  1.850000000E+00	  2.982187867E-01
    186	  1.860000000E+00	  8.266440865E-10	  1.860000000E+00	  2.979061902E-01
    187	  1.870000000E+00	  8.263630891E-10	  1.870000000E+00	  2.985313833E-01
    188	  1.880000000E+00	  8.270499841E-10	  1.880000000E+00	  2.988439798E-01
    189	  1.890000000E+00	  8.259883888E-10	  1.890000000E+00	  2.994691730E-01
    190	  1.900000000E+00	  8.267377338E-10	  1.900000000E+00	  2.979061902E-01
    191	  1.910000000E+00	  8.262381890E-10	  1.910000000E+00	  2.994691730E-01
    192	  1.920000000E+00	  8.259259388E-10	  1.920000000E+00	  2.985313833E-01
    193	  1.930000000E+00	  8.266752838E-10	  1.930000000E+00	  2.994691730E-01
    194	  1.940000000E+00	  8.258010387E-10	  1.940000000E+00	  2.982187867E-01
    195	  1.950000000E+00	  8.264255391E-10	  1.950000000E+00	  2.985313833E-01
    196	  1.960000000E+00	  8.256761386E-10	  1.960000000E+00	  2.997817695E-01
    197	  1.970000000E+00	  8.254575912E-10	  1.970000000E+00	  2.985313833E-01
    198	  1.980000000E+00	  8.263006390E-10	  1.980000000E+00	  2.982187867E-01
    199	  1.990000000E+00	  8.254263384E-10	  1.990000000E+00	  2.985313833E-01
    200	  2.000000000E+00	  8.261132889E-10	  2.000000000E+00	  2.988439798E-01
    201	  2.010000000E+00	  8.255200412E-10	  2.010000000E+00	  2.988439798E-01
    202	  2.020000000E+00	  8.253638883E-10	  2.020000000E+00	  2.994691730E-01
