Index	Time (s)	tds.ntflux_cred *n*F (A), Current	Time (s)	Eapp (V)
1	0	3.57E-12	0	0
2	0.2	6.26E-13	0.2	0.01
3	0.4	9.11E-13	0.4	0.02
4	0.6	1.33E-12	0.6	0.03
5	0.8	1.98E-12	0.8	0.04
6	1	2.89E-12	1	0.05
7	1.2	4.26E-12	1.2	0.06
8	1.4	6.30E-12	1.4	0.07
9	1.6	9.33E-12	1.6	0.08
10	1.8	1.37E-11	1.8	0.09
11	2	2.01E-11	2	0.1
12	2.2	2.95E-11	2.2	0.11
13	2.4	4.33E-11	2.4	0.12
14	2.6	6.31E-11	2.6	0.13
15	2.8	9.13E-11	2.8	0.14
16	3	1.31E-10	3	0.15
17	3.2	1.86E-10	3.2	0.16
18	3.4	2.59E-10	3.4	0.17
19	3.6	3.54E-10	3.6	0.18
20	3.8	4.71E-10	3.8	0.19
21	4	6.06E-10	4	0.2
22	4.2	7.51E-10	4.2	0.21
23	4.4	8.95E-10	4.4	0.22
24	4.6	1.03E-09	4.6	0.23
25	4.8	1.15E-09	4.8	0.24
26	5	1.24E-09	5	0.25
27	5.2	1.31E-09	5.2	0.26
28	5.4	1.36E-09	5.4	0.27
29	5.6	1.40E-09	5.6	0.28
30	5.8	1.42E-09	5.8	0.29
31	6	1.44E-09	6	0.3
32	6.2	1.45E-09	6.2	0.31
33	6.4	1.46E-09	6.4	0.32
34	6.6	1.46E-09	6.6	0.33
35	6.8	1.47E-09	6.8	0.34
36	7	1.47E-09	7	0.35
37	7.2	1.47E-09	7.2	0.36
38	7.4	1.46E-09	7.4	0.37
39	7.6	1.47E-09	7.6	0.38
40	7.8	1.46E-09	7.8	0.39
41	8	1.46E-09	8	0.4
42	8.2	1.46E-09	8.2	0.41
43	8.4	1.46E-09	8.4	0.42
44	8.6	1.46E-09	8.6	0.43
45	8.8	1.45E-09	8.8	0.44
46	9	1.46E-09	9	0.45
47	9.2	1.46E-09	9.2	0.46
48	9.4	1.45E-09	9.4	0.47
49	9.6	1.46E-09	9.6	0.4795
50	9.8	1.45E-09	9.8	0.4855
51	10	1.44E-09	10	0.4875
52	10.2	1.45E-09	10.2	0.4855
53	10.4	1.47E-09	10.4	0.4795
54	10.6	1.47E-09	10.6	0.47
55	10.8	1.45E-09	10.8	0.46
56	11	1.48E-09	11	0.45
57	11.2	1.48E-09	11.2	0.44
58	11.4	1.47E-09	11.4	0.43
59	11.6	1.50E-09	11.6	0.42
60	11.8	1.48E-09	11.8	0.41
61	12	1.47E-09	12	0.4
62	12.2	1.46E-09	12.2	0.39
63	12.4	1.46E-09	12.4	0.38
64	12.6	1.46E-09	12.6	0.37
65	12.8	1.46E-09	12.8	0.36
66	13	1.45E-09	13	0.35
67	13.2	1.44E-09	13.2	0.34
68	13.4	1.44E-09	13.4	0.33
69	13.6	1.43E-09	13.6	0.32
70	13.8	1.41E-09	13.8	0.31
71	14	1.40E-09	14	0.3
72	14.2	1.37E-09	14.2	0.29
73	14.4	1.34E-09	14.4	0.28
74	14.6	1.30E-09	14.6	0.27
75	14.8	1.23E-09	14.8	0.26
76	15	1.15E-09	15	0.25
77	15.2	1.05E-09	15.2	0.24
78	15.4	9.21E-10	15.4	0.23
79	15.6	7.81E-10	15.6	0.22
80	15.8	6.35E-10	15.8	0.21
81	16	4.93E-10	16	0.2
82	16.2	3.65E-10	16.2	0.19
83	16.4	2.58E-10	16.4	0.18
84	16.6	1.74E-10	16.6	0.17
85	16.8	1.11E-10	16.8	0.16
86	17	6.43E-11	17	0.15
87	17.2	3.24E-11	17.2	0.14
88	17.4	1.06E-11	17.4	0.13
89	17.6	-4.00E-12	17.6	0.12
90	17.8	-1.33E-11	17.8	0.11
91	18	-1.93E-11	18	0.1
92	18.2	-2.26E-11	18.2	0.09
93	18.4	-2.45E-11	18.4	0.08
94	18.6	-2.54E-11	18.6	0.07
95	18.8	-2.55E-11	18.8	0.06
96	19	-2.54E-11	19	0.05
97	19.2	-2.48E-11	19.2	0.04
98	19.4	-2.42E-11	19.4	0.03
99	19.6	-2.35E-11	19.6	0.02
100	19.8	-2.27E-11	19.8	0.01
101	20	-2.27E-11	20	0
				
				
1	0	-2.27E-11	20	0
2	0.2	-2.10E-11	20.2	0.01
3	0.4	-1.98E-11	20.4	0.02
4	0.6	-1.87E-11	20.6	0.03
5	0.8	-1.74E-11	20.8	0.04
6	1	-1.57E-11	21	0.05
7	1.2	-1.38E-11	21.2	0.06
8	1.4	-1.12E-11	21.4	0.07
9	1.6	-7.68E-12	21.6	0.08
10	1.8	-2.79E-12	21.8	0.09
11	2	4.22E-12	22	0.1
12	2.2	1.41E-11	22.2	0.11
13	2.4	2.82E-11	22.4	0.12
14	2.6	4.84E-11	22.6	0.13
15	2.8	7.70E-11	22.8	0.14
16	3	1.17E-10	23	0.15
17	3.2	1.72E-10	23.2	0.16
18	3.4	2.46E-10	23.4	0.17
19	3.6	3.41E-10	23.6	0.18
20	3.8	4.58E-10	23.8	0.19
21	4	5.93E-10	24	0.2
22	4.2	7.39E-10	24.2	0.21
23	4.4	8.84E-10	24.4	0.22
24	4.6	1.02E-09	24.6	0.23
25	4.8	1.13E-09	24.8	0.24
26	5	1.23E-09	25	0.25
27	5.2	1.30E-09	25.2	0.26
28	5.4	1.35E-09	25.4	0.27
29	5.6	1.39E-09	25.6	0.28
30	5.8	1.41E-09	25.8	0.29
31	6	1.43E-09	26	0.3
32	6.2	1.44E-09	26.2	0.31
33	6.4	1.45E-09	26.4	0.32
34	6.6	1.45E-09	26.6	0.33
35	6.8	1.46E-09	26.8	0.34
36	7	1.46E-09	27	0.35
37	7.2	1.46E-09	27.2	0.36
38	7.4	1.46E-09	27.4	0.37
39	7.6	1.46E-09	27.6	0.38
40	7.8	1.46E-09	27.8	0.39
41	8	1.45E-09	28	0.4
42	8.2	1.45E-09	28.2	0.41
43	8.4	1.45E-09	28.4	0.42
44	8.6	1.45E-09	28.6	0.43
45	8.8	1.45E-09	28.8	0.44
46	9	1.45E-09	29	0.45
47	9.2	1.45E-09	29.2	0.46
48	9.4	1.45E-09	29.4	0.47
49	9.6	1.45E-09	29.6	0.4795
50	9.8	1.45E-09	29.8	0.4855
51	10	1.44E-09	30	0.4875
52	10.2	1.45E-09	30.2	0.4855
53	10.4	1.45E-09	30.4	0.4795
54	10.6	1.46E-09	30.6	0.47
55	10.8	1.46E-09	30.8	0.46
56	11	1.46E-09	31	0.45
57	11.2	1.48E-09	31.2	0.44
58	11.4	1.46E-09	31.4	0.43
59	11.6	1.46E-09	31.6	0.42
60	11.8	1.45E-09	31.8	0.41
61	12	1.47E-09	32	0.4
62	12.2	1.44E-09	32.2	0.39
63	12.4	1.44E-09	32.4	0.38
64	12.6	1.45E-09	32.6	0.37
65	12.8	1.44E-09	32.8	0.36
66	13	1.44E-09	33	0.35
67	13.2	1.44E-09	33.2	0.34
68	13.4	1.43E-09	33.4	0.33
69	13.6	1.42E-09	33.6	0.32
70	13.8	1.41E-09	33.8	0.31
71	14	1.39E-09	34	0.3
72	14.2	1.37E-09	34.2	0.29
73	14.4	1.34E-09	34.4	0.28
74	14.6	1.29E-09	34.6	0.27
75	14.8	1.23E-09	34.8	0.26
76	15	1.15E-09	35	0.25
77	15.2	1.04E-09	35.2	0.24
78	15.4	9.16E-10	35.4	0.23
79	15.6	7.76E-10	35.6	0.22
80	15.8	6.30E-10	35.8	0.21
81	16	4.88E-10	36	0.2
82	16.2	3.61E-10	36.2	0.19
83	16.4	2.54E-10	36.4	0.18
84	16.6	1.70E-10	36.6	0.17
85	16.8	1.06E-10	36.8	0.16
86	17	6.00E-11	37	0.15
87	17.2	2.81E-11	37.2	0.14
88	17.4	6.33E-12	37.4	0.13
89	17.6	-8.19E-12	37.6	0.12
90	17.8	-1.75E-11	37.8	0.11
91	18	-2.34E-11	38	0.1
92	18.2	-2.67E-11	38.2	0.09
93	18.4	-2.86E-11	38.4	0.08
94	18.6	-2.94E-11	38.6	0.07
95	18.8	-2.95E-11	38.8	0.06
96	19	-2.92E-11	39	0.05
97	19.2	-2.87E-11	39.2	0.04
98	19.4	-2.80E-11	39.4	0.03
99	19.6	-2.73E-11	39.6	0.02
100	19.8	-2.64E-11	39.8	0.01
101	20	-2.78E-11	40	0
